h,d,a,k,setPk_max,verify_value
19,2,4,55,66863,5741483
19,2,4,56,66863,5837764
19,2,5,44,66863,5683277
19,2,6,37,66863,5556160
19,2,7,31,66863,5445353
19,2,7,32,66863,5549663
19,2,8,28,66863,5448677
19,2,10,22,66863,5394225
19,2,11,20,66863,5324889
19,2,13,17,66863,5344794
19,2,14,16,66863,5358839
19,2,16,14,66863,5323798
19,2,17,13,66863,5260437
19,2,20,11,66863,5220129
19,2,22,10,66863,5268580
19,2,28,8,66863,5274367
19,2,32,7,66863,5287134
19,3,4,57,66863,6657806
19,3,4,58,66863,6677838
19,3,5,45,66863,6511232
19,3,5,46,66851,6527620
19,3,6,38,66863,6371014
19,3,7,33,66863,6420167
19,3,8,29,66863,6339102
19,3,9,25,66863,6247939
19,3,10,23,66863,6234308
19,3,11,21,66863,6185160
19,3,12,19,66863,6181980
19,3,15,15,66863,6116354
19,3,19,12,66863,6051676
19,3,21,11,66863,6120928
19,3,23,10,66863,6117230
19,3,25,9,66863,6020871
19,4,4,57,66863,7405841
19,4,4,58,66863,7422858
19,4,5,45,66863,7182847
19,4,5,46,66863,7359047
19,4,6,38,66863,7089773
19,4,7,33,66863,7132971
19,4,8,29,66863,7023413
19,4,9,25,66863,7021080
19,4,10,23,66863,7011208
19,4,11,21,66863,6871769
19,4,12,19,66863,6987830
19,4,15,15,66863,6887892
19,4,19,12,66863,6853097
19,4,21,11,66863,6834891
19,4,23,10,66863,6851346
19,4,25,9,66863,6813628
19,5,4,57,66851,8095506
19,5,4,58,66863,8258029
19,5,5,45,66863,8029253
19,5,5,46,66863,8054017
19,5,6,38,66851,7897159
19,5,7,33,66863,7975328
19,5,8,29,66863,7851538
19,5,9,25,66851,7831497
19,5,10,23,66851,7809513
19,5,11,21,66863,7729777
19,5,12,19,66863,7727298
19,5,15,15,66863,7622255
19,5,19,12,66863,7596811
19,5,21,11,66863,7651913
19,5,23,10,66851,7640694
19,5,25,9,66863,7642183
19,6,4,57,66863,8890780
19,6,4,58,66863,9097531
19,6,5,45,66863,8824707
19,6,5,46,66863,8867245
19,6,6,38,66863,8730779
19,6,7,33,66863,8775418
19,6,8,29,66863,8663707
19,6,9,25,66863,8630271
19,6,10,23,66863,8608141
19,6,11,21,66863,8528583
19,6,12,19,66863,8569035
19,6,15,15,66863,8429069
19,6,19,12,66851,8433721
19,6,21,11,66863,8463357
19,6,23,10,66863,8434724
19,6,25,9,66863,8449760
19,7,4,55,66863,9669295
19,7,4,56,66851,9669967
19,7,5,44,66863,9654238
19,7,6,37,66863,9459644
19,7,7,31,66863,9322729
19,7,7,32,66863,9414964
19,7,8,28,66863,9359389
19,7,10,22,66863,9320827
19,7,11,20,66851,9211878
19,7,13,17,66863,9240792
19,7,14,16,66863,9157102
19,7,16,14,66863,9095377
19,7,17,13,66863,9169206
19,7,20,11,66863,9079194
19,7,22,10,66863,9078638
19,7,28,8,66863,9101637
19,7,32,7,66863,9106959
19,8,4,55,66863,10438298
19,8,4,56,66863,10443723
19,8,5,44,66863,10423571
19,8,6,37,66863,10245465
19,8,7,31,66863,10151645
19,8,7,32,66863,10217649
19,8,8,28,66863,10140377
19,8,10,22,66863,10110267
19,8,11,20,66863,10027103
19,8,13,17,66863,10000473
19,8,14,16,66863,9971747
19,8,16,14,66863,9901573
19,8,17,13,66863,9993070
19,8,20,11,66863,9872711
19,8,22,10,66863,9897527
19,8,28,8,66863,9920363
19,8,32,7,66863,9947763
19,9,4,55,66863,11256304
19,9,4,56,66863,11257095
19,9,5,44,66839,11224219
19,9,6,37,66851,11075805
19,9,7,31,66851,10938375
19,9,7,32,66863,11035329
19,9,8,28,66863,10935597
19,9,10,22,66863,10901167
19,9,11,20,66851,10856573
19,9,13,17,66863,10773617
19,9,14,16,66863,10740732
19,9,16,14,66863,10721943
19,9,17,13,66863,10813398
19,9,20,11,66863,10705769
19,9,22,10,66863,10695843
19,9,28,8,66863,10697194
19,9,32,7,66863,10707717
