w,h,i,hex_value,set_pk,naysaer_ht,naysaer_ltree,naysaer_wots
4,8,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,596082,2541552,716799
4,8,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,596082,2541552,716799
4,8,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,596094,2541564,716787
4,8,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,596070,2541552,716811
4,8,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,596094,2541564,716811
4,8,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,596094,2541564,716799
4,8,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,596094,2541564,716811
4,8,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,596094,2541564,716811
4,8,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,596094,2541564,716811
4,8,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,596094,2541564,716811
4,8,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,596094,2541564,716811
4,8,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,596094,2541564,716811
4,8,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,596094,2541564,716811
4,8,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,596082,2541552,716799
4,8,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,596094,2541564,716811
4,8,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,596094,2541564,716799
4,8,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,596094,2541564,716811
4,8,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,596094,2541564,716811
4,8,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,596094,2541564,716811
4,8,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,596094,2541564,716811
4,8,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,596094,2541564,716811
4,8,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,596094,2541564,716811
4,8,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,596094,2541564,716799
4,8,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,596094,2541564,716799
4,8,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,596070,2541552,716811
4,8,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,596094,2541564,716811
4,8,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,596094,2541564,716799
4,8,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,596094,2541564,716811
4,8,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,596082,2541552,716799
4,8,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,596094,2541564,716811
4,8,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,596094,2541564,716799
4,8,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,596094,2541564,716811
4,8,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,596094,2541564,716799
4,8,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,596094,2541564,716811
4,8,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,596046,2541528,716787
4,8,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,596094,2541564,716799
4,8,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,596094,2541564,716811
4,8,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,596070,2541552,716811
4,8,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,596094,2541564,716799
4,8,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,596094,2541564,716811
4,8,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,596094,2541564,716811
4,8,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,596094,2541564,716811
4,8,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,596094,2541564,716811
4,8,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,596094,2541564,716811
4,8,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,596094,2541564,716799
4,8,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,596094,2541564,716811
4,8,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,596094,2541564,716811
4,8,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,596094,2541564,716811
4,8,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,596094,2541564,716811
